	z_coordinate_0	z_coordinate_1
0	5.6923103	5.7018285
1	-3.5040987	-0.3912615
2	6.203763	-10.020903
3	-3.3184547	3.058485
4	10.79719	-2.5211077
5	1.4022763	-5.636517
6	-11.889964	1.6868057
7	3.9206634	-2.3424573
8	5.7036624	-10.274479
9	5.72576	-9.441038
10	5.860489	-10.156311
11	4.1340632	-3.264701
12	6.913635	4.4024525
13	-2.426163	2.6734462
14	-1.9704313	1.724627
15	10.569493	-2.792384
16	-2.2693837	2.6199553
17	5.8031664	-10.27547
18	-2.5221434	2.785363
19	-1.8093574	-5.289197
20	-2.000706	1.9137483
21	-1.3035176	2.003849
22	5.588557	11.791681
23	8.715697	-1.4665899
24	9.488114	1.0441864
25	-12.358264	2.1211855
26	5.4039826	11.306467
27	5.7602096	-9.818156
28	4.2429385	11.798077
29	10.824526	-2.3982897
30	-1.748116	1.5980277
31	-2.4819953	1.4948661
32	-2.44687	0.7665117
33	5.0854435	-9.937478
34	5.3563156	-0.999061
35	-3.447147	-11.714132
36	-2.381252	2.904303
37	10.805151	-3.0155969
38	-1.770896	-0.86050737
39	-1.5549713	2.5825589
40	5.9099436	-10.456785
41	-2.3150086	2.1103208
42	-8.886182	-8.802922
43	-2.3051646	1.4752172
44	-8.889917	-9.07505
45	-2.5226872	1.4812245
46	-2.4640749	2.413733
47	10.834777	-2.436609
48	10.8388	-2.0420077
49	-2.266766	3.9051442
50	-1.3627317	1.1298907
51	-1.8516273	-5.0667834
52	-3.22448	3.1827292
53	-10.898476	1.0954363
54	-1.95151	1.3824525
55	-2.4704604	2.4010875
56	-6.4266396	-3.077949
57	-2.8300188	2.4197931
58	-1.9175923	1.966383
59	-11.836691	0.07515673
60	5.3521996	-10.460306
61	10.640603	-2.780833
62	-1.7303648	-4.8650737
63	-8.30889	-8.334672
64	0.36720783	-8.361025
65	-5.0143933	-12.238895
66	-1.6223547	1.8867843
67	-2.6573937	1.777859
68	-11.099908	-3.794372
69	-1.7270935	-5.111334
70	10.930472	2.1791396
71	-3.4542837	2.8287063
72	-2.4151957	2.0901206
73	3.8381834	-2.2278724
74	4.2947917	-8.423953
75	5.0501947	11.260948
76	4.2790227	11.370153
77	-1.5971878	2.2905521
78	-2.5075161	2.2244377
79	-1.5466633	1.4883294
80	-1.8636601	1.9964831
81	-2.0855029	2.9496584
82	5.990514	10.935816
83	4.0784073	8.893005
84	-1.8161895	1.2567605
85	-1.589256	2.4166007
86	5.399257	10.656798
87	10.804692	2.0430353
88	-3.1073885	0.59700084
89	-1.6312289	1.7676914
90	-2.5897083	2.040429
91	10.947096	-2.6714401
92	-2.6861475	1.0926025
93	0.27659386	-8.615406
94	-2.9322546	4.354351
95	-1.6692917	1.4208738
96	5.2394905	10.844918
97	-1.7923722	2.148102
98	-10.7516575	8.826626
99	-1.580131	2.051549
100	5.307989	-10.319915
101	-2.7153037	2.505525
102	11.735539	-3.455771
103	-2.4150755	1.3301008
104	9.949107	-1.8172505
105	-11.226798	-4.997794
106	-1.7208831	1.170258
107	10.667493	-2.2003155
108	-1.6962733	3.0100274
109	5.712966	-9.838405
110	-2.0202868	0.7685218
111	-2.3237605	2.5084906
112	5.346862	11.177296
113	5.4826775	-9.906673
114	-1.7062333	-13.025701
115	-2.2231064	2.438088
116	-2.298624	4.672965
117	-1.4036357	0.4435853
118	-11.563791	-4.0100007
119	6.027013	-9.952665
120	-1.7671292	0.9052396
121	-1.9821	-12.335596
122	3.984693	-3.1744518
123	-3.4935827	-5.331361
124	-1.4719255	1.2350006
125	-1.5138433	0.59189403
126	0.9162813	-7.328933
127	5.1321673	7.551882
128	-11.139351	1.0752413
129	4.9542556	-9.458036
130	5.1266575	11.420078
131	-2.1986024	2.5305862
132	3.9295669	12.024948
133	1.6606004	-8.101063
134	10.800105	-2.3931122
135	-1.7631226	-2.569099
136	5.6776495	-8.045071
137	-1.738075	0.7245188
138	3.8842506	-3.4453106
139	-2.142628	-2.1758237
140	-10.7119465	-4.2894335
141	-5.6242995	-0.5150455
142	-4.016865	6.9614873
143	-10.75302	0.8992119
144	-2.5973868	3.7976198
145	-11.142917	-4.785416
146	-2.3810334	-13.065232
147	6.103508	11.621768
148	-0.8795651	-13.062292
149	-8.253178	-8.183025
150	-1.8734508	-5.189383
151	-1.7345517	-0.100571305
152	-1.4330915	0.70565784
153	10.671729	-2.713642
154	-6.8057184	2.6865056
155	-1.3513727	2.4508452
156	-1.8714023	2.92972
157	-1.3460827	1.2723064
158	10.772185	-2.6346648
159	5.855349	11.330204
160	-2.2055206	1.7330842
161	5.231305	-10.197675
162	2.306584	2.3406339
163	5.1043158	-10.058664
164	10.744233	-2.4214993
165	0.7739611	13.975441
166	-11.690022	-4.831908
167	4.481505	11.370224
168	-1.6475236	2.3395746
169	11.028834	-2.4297676
170	-2.0782602	-5.224869
171	-1.6422133	2.166195
172	-1.8405712	2.393482
173	-1.5595815	0.30716553
174	-2.5656822	0.15862915
175	5.4674587	10.589922
176	-3.5728962	3.5679398
177	5.8162184	10.948834
178	-2.2791498	-12.480538
179	2.909955	9.726143
180	5.023347	10.954055
181	4.9577627	10.887533
182	-1.7097368	-5.173024
183	-2.2602122	1.9078183
184	-11.390521	-4.041821
185	5.7038994	-0.49929222
186	-2.2741115	3.555026
187	5.098401	-10.156797
188	5.2106714	-10.016984
189	11.045381	2.2152967
190	5.6524568	-0.29752383
191	-1.9833214	-5.227106
192	10.75708	-2.5957873
193	-1.7330229	-0.9321909
194	10.642315	1.6484658
195	-1.8799002	2.0374975
196	5.122344	-4.2782187
197	-1.6984057	0.9819454
198	5.3801556	-10.080069
199	-1.617732	0.22621554
200	3.8885098	-3.4296703
201	-2.124711	4.2996054
202	-1.6830678	-4.9307566
203	10.730067	-2.8623242
204	10.58738	-1.7716422
205	-3.500095	5.978401
206	5.644452	-9.798176
207	5.4553375	7.877598
208	10.727115	-2.6896734
209	9.314458	-10.244635
210	-2.0438159	-4.990945
211	10.852172	-2.514728
212	3.9666195	-3.3412635
213	3.8664436	-2.476105
214	7.079607	4.6368084
215	-1.8655546	-5.1638885
216	5.2415304	3.9191942
217	-1.9729841	0.74071527
218	-5.9465938	-3.4830704
219	10.493274	1.5707854
220	-2.0578032	-2.717908
221	-1.1772709	2.0036016
222	-1.141911	2.0776305
223	-1.9708753	-4.9302998
224	-1.0946164	0.6008613
225	5.1544023	11.633526
226	-1.9254408	1.1963124
227	3.9296217	-3.2455761
228	-1.4649539	0.95768094
229	-5.338476	0.7455925
230	-1.8393989	1.2885245
231	-2.2674282	1.2824676
232	-1.7469919	-5.0518136
233	5.5378494	10.78128
234	4.52025	-9.982916
235	-1.5243642	2.1469827
236	-1.4186754	1.2521796
237	-11.471564	4.1940937
238	-0.82093453	1.3504785
239	4.974817	10.780613
240	-4.99036	7.8681126
241	-1.5633659	2.157912
242	-1.9759278	1.7248156
243	-1.0897238	1.5929074
244	5.8310995	-9.480486
245	-6.3901954	-3.7442408
246	-2.0896752	2.2552204
247	-1.7490838	2.4230707
248	-2.2557425	0.83829474
249	-2.3089018	1.0736487
250	-1.7605715	1.1806245
251	-2.552327	1.2540531
252	6.150264	-10.072569
253	5.3305826	-9.603439
254	-2.7277002	2.6540518
255	-2.1492999	2.1212702
256	10.335925	1.7484552
257	6.064559	11.3753605
258	-1.9755721	1.3254515
259	-1.4738142	2.8943315
260	-2.358497	2.7159252
261	-1.7610343	1.1188481
262	4.4268646	-3.5269217
263	-0.41782025	0.796499
264	10.62767	-2.8343344
265	-1.7802286	3.467688
266	-1.5405154	2.0952575
267	-2.4973204	2.2756789
268	-11.918296	1.7794505
269	3.9586735	11.593776
270	-2.3484588	-2.8289776
271	5.176817	11.259109
272	-2.4031527	5.066508
273	-2.004824	2.488664
274	-2.108098	2.0913136
275	-1.0213902	2.606412
276	-2.286066	0.82468355
277	-4.7434635	-2.5599897
278	4.0912504	-3.4255667
279	-1.178482	2.9678845
280	-2.97992	2.2614117
281	-1.1859232	0.54441726
282	4.3807936	12.10803
283	-1.6143563	1.3968136
284	-2.2206886	-12.194132
285	-1.8378258	1.0173614
286	-1.408129	1.1847011
287	-0.74701	1.7185419
288	-1.9033422	0.67782295
289	-0.9434617	1.9144311
290	-1.8653214	2.0043068
291	5.903267	11.772142
292	-1.7422748	1.015621
293	5.146636	10.732094
294	-1.2184966	2.3014424
295	-1.6288083	2.340107
296	5.264268	11.141693
297	-1.1310122	-0.48242196
298	10.4307165	1.5427026
299	4.029278	-3.195394
300	-2.0203867	-4.869931
301	5.697487	-9.81409
302	-1.6058104	0.45283398
303	-1.6744452	1.8010627
304	-7.5198755	-1.7795721
305	-1.7369847	0.74767435
306	4.6887484	11.817884
307	-2.1420593	0.98944616
308	-2.0427024	1.3517058
309	-8.57343	-9.054232
310	-0.80407476	0.99284065
311	10.857133	-2.28418
312	-1.5229247	1.3977271
313	5.9351788	-9.579105
314	-0.95169747	-0.4143096
315	-11.463767	10.382505
316	-3.395287	5.3961535
317	-1.003728	1.7121868
318	4.0158644	-3.280362
319	-2.500202	1.3403897
320	0.77674085	14.694735
321	5.1446085	-0.8690132
322	-2.6033607	2.025368
323	-1.7051687	1.9716647
324	5.052988	-9.68
325	3.772112	9.129894
326	-2.4349086	2.549129
327	-1.9019578	-4.904277
328	5.114111	11.251167
329	-2.5339363	4.940742
330	-6.3845844	-3.1874547
331	-1.883986	0.6315373
332	5.207115	-9.589279
333	-1.3590157	1.4493219
