	log_likelihood
0	222.20178
1	300.13837
2	299.7835
3	333.10007
4	304.82498
5	304.00372
6	294.50067
7	311.8129
8	304.0307
9	307.00528
10	302.72882
11	299.9785
12	136.23727
13	335.82306
14	325.94272
15	301.53946
16	323.1784
17	316.2217
18	321.48154
19	309.04752
20	337.73843
21	316.4943
22	216.9853
23	295.8983
24	286.59424
25	286.21948
26	243.27283
27	305.66388
28	241.44702
29	299.84607
30	333.15192
31	330.40726
32	328.31088
33	307.51093
34	298.09
35	278.07623
36	339.42444
37	279.0174
38	322.607
39	318.65326
40	313.09418
41	310.54498
42	268.80176
43	311.43646
44	247.79028
45	334.0197
46	339.37778
47	300.06235
48	287.66367
49	313.72012
50	331.62302
51	311.48297
52	331.59937
53	305.54474
54	320.0891
55	323.68704
56	284.34637
57	310.00803
58	327.7931
59	296.4416
60	303.14005
61	300.08588
62	295.94122
63	273.2774
64	226.36475
65	275.57245
66	308.38715
67	331.1425
68	294.68512
69	309.68475
70	281.09863
71	301.3144
72	326.66022
73	312.01862
74	306.0571
75	251.13728
76	226.9896
77	301.33746
78	320.94632
79	310.19214
80	306.80005
81	319.96472
82	242.14853
83	268.84494
84	314.3043
85	318.2698
86	229.30203
87	260.1021
88	321.0584
89	331.47363
90	331.5895
91	312.20047
92	314.33
93	227.02707
94	290.68475
95	332.06198
96	238.23747
97	320.68042
98	270.1154
99	318.0319
100	313.64365
101	319.51328
102	283.06796
103	323.96912
104	304.91766
105	291.96536
106	303.8544
107	303.30603
108	309.38272
109	306.30392
110	329.68118
111	325.94507
112	253.5729
113	299.29047
114	273.33218
115	315.99554
116	312.58664
117	297.8343
118	258.08875
119	309.08972
120	335.71735
121	275.4977
122	289.32465
123	239.08328
124	306.05826
125	322.52032
126	271.7312
127	248.64517
128	284.50397
129	308.83633
130	239.87964
131	323.34473
132	225.65422
133	309.76657
134	306.1867
135	295.6224
136	304.8697
137	332.443
138	302.47418
139	304.906
140	281.4007
141	297.159
142	289.65692
143	286.8093
144	312.63934
145	288.57306
146	292.22357
147	214.28711
148	265.33432
149	294.83334
150	308.49707
151	311.78186
152	312.5018
153	301.7531
154	293.3606
155	313.2415
156	328.1254
157	322.02264
158	284.70905
159	216.26636
160	319.46783
161	307.5163
162	291.36105
