	z_coordinate_0	z_coordinate_1
0	7.2774005	-4.208028
1	2.3844576	0.76757944
2	-0.2670808	5.9873743
3	0.754479	0.9152502
4	6.403627	-4.3452883
5	2.4645762	0.6681626
6	5.1809063	5.3683696
7	2.5200987	1.4452127
8	2.0151117	0.1693452
9	8.019434	-1.4768213
10	2.4117851	0.7196909
11	-2.5410695	1.0109364
12	10.284236	2.9620662
13	6.7342563	-1.178794
14	8.178201	-1.6080862
15	6.8274817	-0.44969192
16	2.1240559	0.13355485
17	9.315553	-1.2507358
18	0.5442662	0.90897846
19	-2.07861	2.2047791
20	2.2497466	0.1339241
21	-3.052317	9.108906
22	-1.7881016	1.9689504
23	8.984254	-2.110488
24	5.141993	5.476226
25	2.6312802	1.3805335
26	10.062167	3.0095675
27	5.2500615	7.0991054
28	7.3405905	-1.6862035
29	1.892005	0.2960254
30	1.6708508	-2.1193864
31	-0.23518588	-0.6437899
32	-2.5708418	0.59520084
33	0.13453208	4.9768457
34	10.312431	2.8570662
35	1.0316283	-1.2992953
36	8.775565	-1.5635414
37	8.214821	-4.3315463
38	8.085445	-4.123611
39	0.16297483	-1.4858559
40	-5.715995	2.1622875
41	5.9854536	-4.780023
42	1.5666264	-1.5431372
43	2.4221354	0.70714027
44	1.4917216	-1.4736465
45	1.4467573	-1.455759
46	8.768245	-4.162873
47	6.9307866	-4.837698
48	7.938524	-4.017793
49	-0.14491086	-2.2276864
50	1.2538081	2.6557846
51	6.6868863	-1.297692
52	8.060163	-4.153923
53	2.3457067	0.84753364
54	1.6276073	-2.8914728
55	1.678524	-2.927765
56	1.3111167	-1.2256055
57	6.92957	-5.227071
58	10.172347	2.9806046
59	2.331319	0.73037004
60	0.17208971	-0.9161097
61	1.2001393	1.1453173
62	5.23646	5.417367
63	7.0194364	-2.1118944
64	-2.173228	2.0958881
65	6.400022	-4.1664095
66	2.5312557	0.68865246
67	7.246943	-2.2856936
68	-0.008054692	-0.78020346
69	-2.1451108	2.2073011
70	1.8686869	-2.1640868
71	-3.716231	0.8618886
72	6.7902117	-1.2871131
73	6.398373	-4.297944
74	5.0643973	6.6154876
75	-2.6280594	2.7847695
76	4.9517884	5.0596056
77	-2.8767624	1.0555612
78	2.748006	1.1590546
79	1.6488364	-2.1657853
80	8.269872	-1.5266272
81	5.146357	6.7627296
82	5.8239236	-4.5392847
83	6.0531297	-3.7658234
84	2.2546952	1.6947984
85	4.8009315	4.8314962
86	6.7360272	-1.1571562
87	5.759996	-4.7235665
88	4.6602187	5.1329327
89	-3.2983613	3.2359943
90	3.035345	2.658934
91	-0.048260886	9.684504
92	6.335837	-1.4161357
93	-4.189079	1.3683012
94	5.916634	-5.079613
95	3.1015058	5.3926554
96	2.5537195	1.506569
97	4.4430785	5.2464337
98	1.0959997	-0.9356008
99	-0.16179682	-0.34436518
100	8.547472	-2.0615222
101	5.3153214	7.2558784
102	2.702013	1.2927693
103	6.6066604	-3.6787035
104	4.798623	6.589314
105	-0.09478243	5.434743
106	7.4876056	-1.8114854
107	6.8452754	-4.698473
108	-0.25874177	6.102989
109	4.9534383	5.2850847
110	8.359049	-1.3094509
111	2.1920803	0.13850847
112	2.361178	0.7084826
113	7.467088	-1.4804871
114	-0.039796192	-0.854107
115	-0.11626278	-0.52206147
116	7.3352075	-1.7011319
117	-0.086139575	5.455064
118	5.815795	-2.5102901
119	1.4559757	-2.8967547
120	-0.2303782	4.7620554
121	7.864761	-3.9310508
122	7.3076277	-1.4326152
123	7.170008	-1.6839759
124	2.1266258	0.23159
125	8.986117	-1.7215805
126	6.6073976	-3.7463663
127	-0.4255006	5.180952
128	8.67226	-1.6574179
129	6.6714053	-1.5757481
130	2.5024867	0.66262674
131	2.5227513	0.6765232
132	7.4357	-1.7592181
133	7.1598573	-2.134134
134	10.554929	2.7821882
135	5.015906	5.249854
136	-4.501883	4.44042
137	-5.0815578	3.8754406
138	7.891258	-3.9984567
139	0.69074184	0.97488856
140	6.7957807	-1.3311182
141	7.4524455	-2.5077744
142	6.9829097	-0.05604451
143	1.2824876	-2.2429626
144	6.749166	-1.0976282
145	8.836582	-1.3584733
146	2.730617	1.2174333
147	2.7218375	1.2516965
148	0.94365	-3.5673668
149	5.8896556	-2.1057763
150	-0.1402346	-0.5033763
151	6.77901	-3.9218547
152	6.8290725	-1.2434561
153	6.016392	-2.02934
154	2.7181256	1.2297055
155	2.621738	0.6483495
156	1.1422658	2.6689982
157	1.4175119	-2.2343931
158	0.4949795	1.1125162
159	7.7175946	-1.8996488
160	2.6121345	0.6907966
161	3.0973215	2.683189
162	3.0973215	2.683189
