	log_likelihood
0	14.174466
1	18.690426
2	8.177934
3	13.829538
4	14.129671
5	16.084543
6	9.181865
7	13.626485
8	16.081469
9	16.58134
10	20.394526
11	5.566584
12	0.709647
13	15.711775
14	13.408465
15	5.904934
16	13.80961
17	7.7668123
18	21.019417
19	10.730781
20	18.654331
21	-2.9593177
22	8.855856
23	5.330018
24	10.852276
25	15.37575
26	-3.576902
27	3.2634761
28	9.864841
29	9.269461
30	19.048454
31	3.105671
32	3.9355018
33	-3.760711
34	1.1892225
35	13.256767
36	13.680155
37	11.004356
38	10.262168
39	12.488012
40	10.060255
41	15.223841
42	16.409477
43	20.087626
44	19.033268
45	18.302814
46	8.195227
47	15.320282
48	16.96069
49	13.498892
50	17.824135
51	14.0162
52	14.886365
53	15.869708
54	19.84702
55	19.866446
56	13.421257
57	11.872519
58	0.8006876
59	13.700574
60	7.5034056
61	10.92461
62	12.482056
63	10.86543
64	8.723984
65	14.858826
66	21.779396
67	13.894153
68	18.010624
69	7.744876
70	15.760562
71	5.119725
72	15.48897
73	15.065689
74	2.3120756
75	9.090781
76	13.080505
77	9.259234
78	20.16125
79	18.956352
80	9.248675
81	1.8996576
82	11.15096
83	1.5037806
84	4.8860264
85	8.279183
86	15.197306
87	11.418671
88	7.7410865
89	11.028211
90	13.736404
91	-5.5725718
92	15.606226
93	10.003769
94	10.347362
95	1.9251363
96	11.489191
97	3.5710056
98	5.1486306
99	2.999589
100	7.887004
101	0.27221555
102	22.396341
103	11.754503
104	-1.2571905
105	15.225815
106	15.451671
107	14.8752165
108	5.262767
109	5.7143807
110	8.187125
111	14.755392
112	21.467363
113	14.897499
114	11.514922
115	16.996088
116	14.3940325
117	15.045178
118	2.7562962
119	18.511246
120	-2.8623428
121	14.776871
122	12.550822
123	12.391477
124	18.685925
125	7.956549
126	14.301234
127	-1.4509622
128	9.927287
129	13.422841
130	20.653742
131	20.597754
132	13.571361
133	13.573729
134	2.5403552
135	9.069788
136	13.1245775
137	15.13545
138	15.906509
139	10.578229
140	14.809489
141	7.856044
142	-0.6671223
143	11.749237
144	12.053547
145	13.177434
146	22.06252
147	20.459932
148	8.0437765
149	10.815016
150	13.69137
151	8.393903
152	14.54454
153	13.798592
154	21.777456
155	19.689926
156	16.07752
157	15.635153
158	8.769106
159	12.264326
160	18.489655
161	11.815908
162	11.379545
163	6.854724
164	17.423237
165	7.350328
166	17.841068
167	1.5743597
168	0.17977504
169	13.849347
