	log_likelihood
0	3.1217878
1	15.402338
2	20.578327
3	10.112852
4	11.318298
5	20.658802
6	19.367817
7	7.7626886
8	18.579498
9	20.274506
10	22.139868
11	22.400394
12	7.3934135
13	5.815207
14	20.909399
15	20.205297
16	5.541888
17	18.64464
18	10.809562
19	18.317303
20	13.370295
21	22.992058
22	3.99039
23	9.610373
24	14.358081
25	11.110387
26	19.322697
27	4.6348333
28	7.2608337
29	14.242887
30	17.989851
31	21.640507
32	8.7807255
33	2.333969
34	2.114287
35	8.16494
36	12.467903
37	20.630198
38	13.545209
39	10.967875
40	18.578165
41	9.308981
42	22.329647
43	18.205984
44	21.28807
45	19.951359
46	20.439856
47	8.801348
48	22.935087
49	20.90686
50	15.654393
51	14.845202
52	17.875483
53	19.82751
54	15.489642
55	21.746895
56	21.702938
57	11.89824
58	17.823154
59	4.19316
60	15.069155
61	7.176173
62	7.351967
63	11.829653
64	12.567141
65	12.074728
66	18.483656
67	23.988337
68	19.242004
69	19.11406
70	10.525217
71	18.113205
72	6.653525
73	21.14122
74	20.714682
75	8.387582
76	12.005733
77	10.900294
78	10.939082
79	24.459597
80	21.685163
81	15.254492
82	4.108432
83	16.707611
84	3.61968
85	9.919757
86	5.9310913
87	19.437782
88	20.084955
89	6.876193
90	16.432705
91	13.596194
92	-12.650388
93	15.092044
94	13.179993
95	20.606615
96	1.595566
97	14.659741
98	6.223104
99	9.05284
100	4.76756
101	15.851114
102	2.5630832
103	25.950521
104	13.194087
105	0.19574746
106	18.410982
107	20.368633
108	20.903667
109	8.196043
110	2.4483223
111	16.321404
112	20.001055
113	22.715673
114	19.680367
115	15.324979
116	14.845053
117	19.422487
118	18.333866
119	13.943193
120	20.15817
121	-1.7675407
122	18.906183
123	15.468152
124	15.850214
125	21.136051
126	16.732145
127	16.56213
128	-1.9490404
129	17.570873
130	18.09583
131	22.154621
132	21.50847
133	20.456715
134	21.158375
135	4.5312757
136	8.880331
137	10.964316
138	17.620846
139	19.730848
140	12.8029995
141	19.931131
142	9.320164
143	7.1119223
144	13.612387
145	15.890172
146	19.179096
147	26.184366
148	24.749125
149	-1.3615589
150	14.238727
151	12.616997
152	9.903385
153	19.235352
154	18.865192
155	25.423557
156	22.03513
157	13.88885
158	16.283325
159	8.476021
160	18.085545
161	20.92775
162	11.874832
163	12.183298
164	8.011995
165	16.805756
166	11.8021555
167	17.869205
168	3.8673089
169	5.1773925
170	9.553648
171	18.628307
172	3.3932533
173	18.383652
174	14.270061
175	1.9133472
176	20.377449
177	15.980992
178	11.779746
179	17.881021
180	12.693702
181	21.223747
182	15.789812
183	15.627202
184	13.977592
185	15.172058
186	20.178421
187	13.749739
188	12.956309
189	14.789198
190	17.53468
191	16.99055
192	15.518674
193	13.038388
194	4.274429
195	10.30335
196	6.1182055
197	15.871676
198	6.9200797
199	13.343077
200	19.218836
201	11.539724
202	0.21616964
203	4.51504
204	17.131548
205	19.447277
206	14.520554
207	12.305532
208	16.450558
209	17.095747
210	17.05444
211	18.342148
212	13.648137
213	9.183737
214	-10.325586
215	7.2959633
216	3.2376251
217	17.142637
218	5.4534783
219	10.255578
220	5.38833
221	3.100534
222	-12.80112
223	19.50981
224	5.0180373
225	13.719812
226	15.544907
227	12.540611
228	11.52587
229	23.527573
230	5.8896475
231	16.455135
232	7.0771956
233	11.682117
234	12.108882
235	8.933279
236	15.599167
237	-0.5936718
238	7.534429
239	6.9533515
240	18.10699
241	12.953615
242	16.281155
243	13.703809
244	18.55286
245	3.9290233
246	-6.9683867
247	3.5026004
248	14.317484
249	11.563921
250	3.4774513
251	-16.536795
252	9.18961
253	8.224772
254	10.6623125
255	17.73843
256	17.72816
257	18.808495
258	8.899473
259	-10.425108
260	18.85661
261	16.81752
262	9.221964
263	13.809283
264	9.657108
265	9.842313
266	1.8506229
267	12.270625
268	5.562794
269	13.290602
270	9.55652
271	11.1566305
272	17.66782
273	13.474731
274	15.872577
275	17.127567
276	16.564482
277	4.4493685
278	13.063204
279	8.8564
280	1.6709664
281	2.6550815
282	17.709951
283	16.357563
284	15.071676
285	11.304125
286	12.390982
287	15.829489
288	8.664162
289	18.98994
290	-6.47238
291	-8.554636
292	15.341059
293	0.12484379
294	10.823668
295	19.27152
296	-0.6259649
297	16.222605
298	12.239631
299	4.8080564
300	18.750223
301	13.970968
