	z_coordinate_0	z_coordinate_1
0	2.1317852	2.165127
1	2.9854794	3.176735
2	2.64874	2.8715434
3	2.6701937	2.9328487
4	-0.4009894	2.897534
5	-0.52411795	2.730459
6	-0.59105086	2.5744574
7	-0.43157697	2.8987896
8	-0.4477508	2.8067348
9	-0.49681425	2.8105743
10	0.2785563	3.918268
11	4.7097044	0.26685062
12	4.758313	-0.82034546
13	4.757972	0.37272954
14	5.5770073	1.6413652
15	4.726721	-0.84513956
16	5.3709707	0.50064087
17	4.5740366	-0.42537415
18	5.01612	-1.3194624
19	4.695033	-1.0581146
20	4.797242	-1.2530885
21	4.8932104	-1.2271894
22	4.788268	-1.0040013
23	5.4152584	-0.85153866
24	4.886036	-0.8217728
25	5.4741936	-1.0107763
26	4.816271	-1.1325883
27	4.807707	-1.1996354
28	5.1764803	-1.167817
29	4.925542	-1.2222568
30	5.973686	-1.0900997
31	5.0942526	-1.2822477
32	5.8606653	-1.1773461
33	3.024031	0.8900293
34	3.2713704	0.9311853
35	3.9651957	1.8057569
36	4.440427	2.356208
37	-1.7778995	8.620917
38	-1.8041472	8.728313
39	5.2503824	5.3479953
40	5.107335	5.1473246
41	5.097604	5.1163874
42	3.5064547	3.6204808
43	3.789478	3.641073
44	3.7470062	3.5008779
45	2.3383744	2.039519
46	2.3861802	1.7570596
47	2.609146	2.64612
48	0.72841346	5.426116
49	0.37704194	4.953669
50	1.0448879	6.427881
51	1.0943334	6.3485236
52	0.07433897	9.650391
53	-2.7231004	9.745108
54	-2.557754	9.500994
55	-3.844189	8.7293625
56	2.7837873	6.6871467
57	2.3422778	5.8437524
58	1.8593838	5.3879085
59	1.7318081	4.9875255
60	1.8468188	5.321807
61	2.5855827	6.226805
62	1.5533882	5.8740697
63	-2.7261093	8.518511
64	-2.5628448	8.378123
65	3.651676	6.254212
66	3.1560571	5.7626796
67	3.3304565	5.9186425
68	6.0245876	5.3551517
69	5.543887	4.852465
70	5.994834	5.278725
71	5.986414	5.3419924
72	5.595931	4.59934
73	4.3694077	3.011329
74	3.2123249	0.55844206
75	4.2417555	2.7953868
76	4.0125294	2.8276465
77	4.641368	3.4197996
78	2.3965843	5.8541074
79	1.5440077	4.800411
80	2.430868	5.913174
81	1.9960043	5.495009
82	2.9624026	2.6555283
83	2.6121242	2.3286736
84	3.0772784	2.5711558
85	2.5952318	2.1037714
86	1.2366319	1.734672
87	1.4690051	1.8699055
88	1.5512953	1.8239185
89	1.4552996	1.7886883
90	3.4314747	3.325123
91	4.079523	4.394325
92	2.7795258	2.010492
93	1.8897014	2.337465
94	1.7534108	2.206402
95	1.2692382	1.8666078
96	2.0885978	2.7868853
97	1.5365077	2.113025
98	3.861787	-1.6087943
99	3.8769472	-1.3129822
100	6.0440025	-1.476662
101	3.9348845	-1.6274045
102	3.9333146	-1.763851
103	4.0402784	-1.9138628
104	4.016958	-1.9022173
105	3.9164796	-1.831823
106	3.97558	-1.8793848
107	4.009423	-1.7972902
108	3.974583	-0.5786516
109	1.5018777	-1.2869201
110	1.5521235	-1.3682812
111	1.5552218	-1.2904036
112	1.5512067	-1.4184192
113	1.6730709	-1.4952099
114	1.5845168	-1.3159322
115	1.5909309	-1.32876
116	1.6398873	-1.5169439
117	1.6696361	-1.3405632
118	6.2186327	-4.4761276
119	6.137375	-4.643942
120	6.1437187	-4.645373
121	6.1700573	-4.695517
122	6.1299067	-4.683574
123	6.1067	-4.721335
124	6.1699896	-4.7993197
125	4.0713615	-6.1108575
126	4.110224	-6.0447154
127	4.0539894	-6.0848618
128	4.1162844	-6.030211
129	4.1003165	-6.0185385
