	log_likelihood
0	24.810812
1	20.48933
2	21.958172
3	23.509777
4	23.0075
5	19.573954
6	10.914891
7	20.012577
8	20.09667
9	22.050388
10	18.39444
11	26.884533
12	27.1819
13	26.991726
14	18.301708
15	29.116745
16	13.412161
17	27.097021
18	25.402096
19	29.89292
20	27.365955
21	27.676464
22	29.428534
23	24.688314
24	29.084057
25	25.57077
26	27.558939
27	25.30505
28	25.966846
29	27.05016
30	18.490698
31	26.594421
32	22.851522
33	25.816406
34	22.11649
35	30.427862
36	27.488733
37	19.269787
38	16.92124
39	22.301147
40	25.746166
41	28.129013
42	28.45106
43	29.224163
44	27.691242
45	16.855833
46	11.162215
47	21.906902
48	22.95373
49	23.891895
50	21.35003
51	21.578997
52	7.671019
53	18.806408
54	19.690739
55	19.299957
56	20.505644
57	20.595795
58	17.67512
59	13.315814
60	19.93524
61	18.839401
62	14.774373
63	21.913181
64	18.349276
65	26.488657
66	22.897541
67	26.243351
68	23.955662
69	23.026844
70	25.735117
71	23.751629
72	20.61282
73	19.464466
74	10.206093
75	19.801754
76	17.225525
77	23.047218
78	24.308012
79	22.496658
80	26.147663
81	25.61239
82	30.56358
83	29.3625
84	29.141916
85	31.023617
86	29.993021
87	31.52367
88	30.913677
89	31.63963
90	12.869398
91	12.908312
92	10.922636
93	23.434412
94	26.483404
95	23.186295
96	22.56571
97	27.833408
98	29.993414
99	26.414974
100	7.6950006
101	33.27431
102	32.297382
103	29.539068
104	29.716763
105	30.27976
106	31.526371
107	31.873865
108	19.527622
109	31.784903
110	32.490852
111	32.154427
112	31.56932
113	26.464397
114	33.805412
115	33.94858
116	26.305752
117	32.129143
118	17.895157
119	19.861086
120	21.913578
121	18.95416
122	21.883434
123	22.180002
124	16.52577
125	25.768015
126	28.650005
127	27.413061
128	27.928387
129	28.967001
130	25.70629
131	24.623339
132	20.751724
133	29.141468
134	24.073696
135	27.711468
136	25.537844
137	28.697168
138	22.317705
139	18.80325
140	11.653218
141	18.58281
142	17.17625
143	16.848093
144	19.49177
145	16.955545
146	18.700272
147	21.73035
148	21.347733
149	20.754482
150	8.859274
151	21.711117
152	11.780733
153	4.4418964
154	17.846045
155	21.585798
156	23.55634
157	19.10667
158	16.246567
159	19.786234
