	z_coordinate_0	z_coordinate_1
0	-2.3715646	1.5217063
1	-2.155649	1.606044
2	-0.96017534	1.3510344
3	-1.3371882	1.3749771
4	-1.153882	1.4143353
5	-3.2960105	3.7282493
6	-3.480449	3.8072047
7	-3.5922453	3.93755
8	-3.3494642	3.7819834
9	-3.3833013	3.8613229
10	-3.4292927	3.7168972
11	-2.1798978	4.1667285
12	-0.07953563	-1.2893054
13	-0.24207169	-2.379101
14	-0.024748161	-1.1062876
15	0.4140485	-0.32549855
16	-0.27701452	-2.3968468
17	0.14756793	-1.0364692
18	-0.32939938	-1.858548
19	-0.21950248	-2.893351
20	-0.36978996	-2.5388403
21	-0.43325633	-2.687422
22	-0.301916	-2.784054
23	-0.2548574	-2.6100788
24	0.16318297	-2.7616692
25	-0.076637596	-2.551075
26	0.1119155	-2.908175
27	-0.34466404	-2.6974893
28	-0.39472616	-2.6638858
29	-0.058609188	-2.8950553
30	-0.26936823	-2.8306813
31	0.14097866	-3.0294168
32	-0.19790244	-2.898872
33	0.11825243	-3.119216
34	-2.0146995	0.1425457
35	-1.6964922	0.011227332
36	-0.30808288	0.42254606
37	0.021108985	0.4833025
38	2.951073	8.002063
39	2.903935	8.146669
40	0.89649826	1.873388
41	0.8462625	1.7667303
42	0.8446254	1.7880907
43	-0.34298205	1.7300979
44	-0.133724	1.6462965
45	-0.2373982	1.6820724
46	-1.927455	1.9509218
47	-1.9811528	2.3989196
48	-1.0964278	1.8378228
49	0.13369751	4.603658
50	-0.2234081	4.652414
51	0.7250422	4.8804502
52	0.8330857	4.7130194
53	5.333717	7.031233
54	3.9999564	9.253742
55	3.9134614	9.130229
56	2.9358237	10.443201
57	3.2944386	3.466104
58	2.632332	3.4833903
59	2.3888435	3.5565062
60	2.149337	3.8494468
61	2.231798	3.6581745
62	3.0005858	3.5391688
63	2.0748389	4.2950006
64	2.4327004	8.820676
65	2.3439462	8.586411
66	2.4506552	2.6526785
67	2.1333985	2.7786505
68	2.2868307	2.7496026
69	1.5374532	1.3276615
70	1.3261023	1.3172951
71	1.4590244	1.3062897
72	1.4856479	1.3403733
73	1.7418554	1.274344
74	1.4707577	0.93538326
75	-1.1860981	-0.8430891
76	1.1261528	0.7747551
77	1.2415509	0.86202323
78	1.5603912	1.0489991
79	1.4047272	3.7672286
80	0.5171935	4.023291
81	1.539125	3.7051318
82	1.2922041	3.8412533
83	-0.98447686	1.324244
84	-1.6034045	1.2949575
85	-0.8282151	1.296809
86	-1.5975823	1.2257035
87	-3.2743797	1.6563579
88	-2.814408	1.5598803
89	-2.6858094	1.5259869
90	-2.8811204	1.5777797
91	-0.6992224	3.2121978
92	-0.22365332	3.1266656
93	-1.1647964	3.1173692
94	-2.300276	1.5447297
95	-2.381438	1.6318794
96	-3.2144725	1.6156403
97	-1.7135997	1.8534868
98	-2.6228702	1.6082428
99	-1.5115321	-2.5308971
100	-1.41908	-2.2154014
101	0.20244455	-3.7077982
102	-1.4404984	-2.6990027
103	-1.5017092	-2.7406917
104	-1.5647376	-2.8509836
105	-1.5644417	-2.8438418
106	-1.522335	-2.760824
107	-1.6176779	-2.844526
108	-1.512152	-2.8343105
109	-1.1345621	-1.8152776
110	-3.842828	-2.0028687
111	-3.8072188	-2.194442
112	-3.8021472	-2.1512754
113	-3.8658535	-2.138805
114	-3.8243396	-2.2467654
115	-3.525615	-2.0339696
116	-3.7224388	-1.9953626
117	-3.6951334	-2.374381
118	-3.211519	-2.0125177
119	-3.7931983	-5.5359297
120	-3.903509	-5.642257
121	-4.000928	-5.683378
122	-4.238997	-5.7540193
123	-4.007606	-5.6977067
124	-3.9348943	-5.6676154
125	-4.37491	-5.860915
126	-2.5006914	-7.432304
127	-2.2903826	-7.419316
128	-2.5449574	-7.4147744
129	-2.2034004	-7.3577027
130	-2.2229273	-7.3329635
