	log_likelihood
0	25.89765
1	25.304981
2	24.415096
3	25.39104
4	27.332932
5	24.446611
6	21.48493
7	14.647432
8	19.763727
9	20.559814
10	23.531994
11	19.41282
12	29.477371
13	27.04285
14	28.802464
15	18.453156
16	30.74018
17	14.794803
18	32.211586
19	25.13542
20	31.609686
21	29.588251
22	28.185635
23	29.53432
24	22.59088
25	27.452229
26	22.184156
27	26.952984
28	26.067028
29	23.518988
30	26.91116
31	16.818018
32	24.30804
33	17.70923
34	27.99795
35	24.65494
36	35.118134
37	32.811546
38	21.209314
39	18.252785
40	20.727024
41	23.701458
42	26.119482
43	30.511082
44	29.647781
45	28.703976
46	21.130144
47	15.75437
48	24.685133
49	24.420053
50	24.879288
51	24.462467
52	25.314068
53	9.810201
54	18.379627
55	22.101885
56	19.61348
57	22.918625
58	23.571909
59	20.738247
60	17.452621
61	21.70487
62	22.433216
63	11.475522
64	23.253366
65	19.014807
66	23.180998
67	23.1316
68	24.709177
69	25.768885
70	26.7229
71	27.524557
72	26.334314
73	24.459377
74	27.28503
75	7.6663156
76	22.351194
77	23.104092
78	26.980188
79	23.094915
80	22.756512
81	24.876055
82	25.860096
83	33.849617
84	33.387547
85	32.40379
86	33.567448
87	28.417822
88	30.38219
89	30.191898
90	30.184301
91	18.342054
92	17.178247
93	17.501364
94	24.401781
95	29.062763
96	23.526243
97	23.031544
98	28.639755
99	24.307201
100	22.374348
101	2.3156736
102	29.440857
103	27.59019
104	25.47203
105	25.484024
106	25.37512
107	24.731647
108	27.53536
109	26.0882
110	29.892223
111	30.008087
112	30.012201
113	31.45251
114	24.981491
115	31.966589
116	31.982544
117	24.523376
118	29.730326
119	17.851358
120	19.588783
121	18.91875
122	16.411259
123	19.54585
124	19.979828
125	14.780057
126	18.829708
127	17.26481
128	19.557276
129	17.42488
130	18.409536
131	18.210003
132	19.268448
133	14.238998
134	18.445309
135	19.865448
136	17.396875
137	17.98148
138	17.847065
139	17.135952
140	12.002397
141	14.954982
142	21.701168
143	21.663767
144	20.150167
145	21.705927
146	21.349543
147	21.878033
148	23.821518
149	24.399685
150	24.495941
151	14.081255
152	23.630554
153	15.24938
154	8.235879
155	18.31908
156	23.38113
157	25.676065
158	23.097721
159	15.566623
160	19.892282
161	13.606761
162	12.229631
163	23.327206
164	20.383574
165	20.590942
166	16.639145
167	24.081438
168	24.009012
169	21.798498
170	24.528131
171	25.54315
172	30.016598
173	29.069427
174	20.494648
175	25.2663
176	31.262432
177	30.254345
178	27.424606
179	23.782646
180	27.785496
181	22.875427
182	24.855877
183	21.995447
184	25.368359
185	23.899662
186	21.734335
187	22.544058
188	20.930773
189	22.455755
190	23.49418
191	21.370556
192	23.052496
193	22.146263
194	17.318192
195	21.952436
196	16.977459
197	21.92986
198	21.740526
199	21.580301
200	20.663002
201	21.291107
202	17.113514
203	16.42738
204	25.92662
205	31.843754
206	26.2137
207	13.907663
208	14.61883
209	16.634783
210	15.409012
211	15.272188
212	26.804846
213	5.3648524
214	32.43892
215	15.718768
216	19.917465
217	18.319775
218	18.386728
219	16.57625
220	16.426456
221	17.766651
222	31.013287
223	25.262033
224	24.537313
225	26.278955
226	27.757404
227	7.4895887
228	11.409078
229	28.215612
230	28.914856
231	27.215015
232	26.570602
233	14.267866
234	27.259205
235	17.428959
236	30.717081
237	25.098804
238	26.253473
239	24.45244
240	23.635845
241	22.11745
242	20.830853
243	18.15942
244	17.81162
245	26.060816
246	20.35519
247	22.919062
248	24.355473
249	24.19094
250	20.127075
251	17.565777
252	16.324566
253	21.809216
254	19.58016
255	19.557201
256	26.44954
257	27.165573
258	29.258413
