	z_coordinate_0	z_coordinate_1
0	-3.8953218	-1.7890654
1	-4.0666075	-1.5560179
2	-2.858503	-3.5012517
3	-1.9206195	-4.5787196
4	-3.273502	-2.3154361
5	-3.1538618	-2.798118
6	-4.6760073	-1.145125
7	-4.0664954	-1.685682
8	-2.4555624	-4.244483
9	-3.2467716	-2.5358458
10	-4.3952713	-1.3761071
11	-5.161162	-1.002436
12	-2.3255603	-5.365601
13	-2.0331118	-5.767373
14	-1.9813222	-4.652928
15	-2.6736948	-3.276517
16	-2.1740966	-4.6545763
17	-2.2374039	-4.179622
18	-2.8217819	-3.279591
19	-2.109865	-3.8540225
20	-3.4036908	-2.9602532
21	-2.2179408	-2.6233935
22	-3.083441	-2.5432749
23	-3.750148	-1.6750088
24	-2.5029225	-2.803555
25	-2.8390374	-3.4032774
26	-3.0559816	-3.0566525
27	-3.6926386	-1.865088
28	-3.7673454	-1.7274163
29	-2.3246891	-3.276322
30	-2.361563	-5.1618557
31	-2.1865387	-5.56355
32	-3.7357569	-1.7796805
33	-3.6619046	-2.0788572
34	-2.7407992	-3.7564044
35	-3.2120147	-3.376738
36	-4.6226835	-1.2219446
37	-3.0812948	-2.9279518
38	-2.7986467	-3.1507692
39	-4.08136	-1.283268
40	-4.267357	-1.5530665
41	-1.8054	-3.0873322
42	-1.8973725	-4.0593667
43	-3.7675762	-1.5863862
44	-2.4291267	-4.2191596
45	-3.9457529	-1.7311411
46	-2.4902756	-4.1476183
47	-3.376191	-2.431932
48	-2.1794295	1.4715152
49	-1.1222565	0.62527204
50	-1.9808738	1.7193816
51	1.429277	-2.4200368
52	-0.96418077	0.47781998
53	0.11504166	-1.0714343
54	-0.80531234	1.015627
55	0.6380856	-3.1135354
56	-1.8011183	0.36528206
57	0.39055493	-1.8811103
58	1.4861865	-3.3410227
59	-0.31712505	-0.4189784
60	1.6125787	-2.5766854
61	-0.50609845	-0.19314651
62	-0.2391893	-1.603662
63	-1.7812355	0.7004756
64	-0.1366742	-0.45022595
65	-0.03905767	-1.9090241
66	2.3408136	-1.124974
67	0.7495377	-2.351704
68	-0.08233641	1.125449
69	-0.45757106	-1.0189941
70	1.1739303	-0.29060376
71	-0.65166026	-0.66412926
72	-1.3710835	-0.22916992
73	-1.6232796	0.49106032
74	-1.8781285	0.9955698
75	-1.2200463	1.8540928
76	-0.18402167	-0.23693813
77	0.19036677	-2.3370795
78	0.98001796	-2.6042514
79	0.8686038	-2.71118
80	0.14313677	-1.7347353
81	0.7084927	0.1041327
82	-0.089471616	-0.5979848
83	-0.5587445	0.57977724
84	-1.64542	1.2185366
85	1.6365652	-1.4328809
86	-0.3575183	-1.152488
87	0.88249564	-2.0978906
88	0.65917903	-1.830056
89	-0.73136806	-0.14465012
90	0.499874	-1.8538139
91	0.8510291	-3.1616614
92	0.36812085	-1.534682
93	-0.51447827	-1.1949837
94	-0.20943229	-1.1249204
95	-0.96056694	-0.5242871
96	0.43707868	-2.877512
97	0.023883222	-1.3447318
98	0.5593633	4.277359
99	1.0310028	0.879277
100	-1.1116939	4.0246763
