	log_likelihood
0	7.487273
1	5.881655
2	7.4576674
3	5.1652555
4	4.0487094
5	7.2189817
6	4.1713123
7	7.229139
8	6.819542
9	5.944413
10	7.440318
11	7.345659
12	4.7970896
13	3.1158767
14	6.3852043
15	6.4367995
16	2.4462523
17	6.463275
18	2.6102803
19	5.830547
20	3.0032444
21	3.337712
22	3.4051483
23	3.8511357
24	4.384187
25	6.948407
26	7.035005
27	5.7892065
28	5.6217575
29	2.948775
30	6.3535795
31	7.0262513
32	5.7394133
33	6.486806
34	5.4097433
35	8.240417
36	5.865018
37	6.608571
38	6.4602346
39	-4.4806824
40	5.708818
41	4.7367134
42	3.5104072
43	3.826625
44	6.236081
45	6.900136
46	7.0849013
47	7.180415
48	5.7421174
49	6.3290796
50	4.95867
51	5.983235
52	7.7936425
53	6.812392
54	6.802943
55	6.009813
56	9.258036
57	1.9238713
58	6.154557
59	5.0772805
60	5.086154
61	8.653376
62	3.8677108
63	5.9466124
64	5.751851
65	5.400241
66	5.006461
67	6.4266596
68	5.9105244
69	6.1929784
70	7.2834716
71	6.5839934
72	7.5964065
73	6.6305757
74	6.7822027
75	6.9661355
76	8.160636
77	5.8830013
78	6.6267076
79	6.5596213
80	5.778129
81	6.5726457
82	3.0599065
83	3.6564412
84	7.030716
85	6.225177
86	4.7269263
87	5.8112674
88	5.1668515
89	7.453727
90	6.1276884
91	6.602514
92	6.105127
93	5.7365823
94	6.833673
95	7.377655
96	5.2265024
97	6.5301185
98	4.601603
99	5.5852804
100	5.137775
101	8.069511
102	5.8251815
103	4.3314085
104	-3.6076655
105	4.83478
106	4.439172
107	4.93984
108	4.756396
109	7.3012223
110	6.5176773
111	4.1665115
112	-1.3466158
113	5.7198696
114	8.184262
115	3.3310745
116	1.3504299
117	5.1443243
118	5.572255
119	1.7812163
120	4.393066
121	7.1272974
122	5.397803
123	4.4162016
124	7.5276427
125	8.832798
126	7.1928916
127	6.1936593
128	4.1303415
129	3.1781788
130	7.179557
131	6.0696855
132	2.439179
133	3.4367194
134	4.792892
135	6.5641375
136	8.219695
137	6.2894144
138	5.9960318
139	4.4566946
140	5.4203386
141	6.315688
142	5.779765
143	5.1553526
144	6.617213
145	7.4209633
146	3.7495956
147	7.4620867
148	4.4659758
149	5.621019
150	4.835141
151	5.2772226
152	3.8765213
153	3.5149434
154	5.4602804
155	5.52452
156	6.293466
157	0.19045813
158	2.302319
159	3.6238313
160	5.852259
161	6.717103
162	7.255479
163	4.483039
164	0.2849817
165	5.7102284
166	5.604622
167	4.5128455
168	7.5961723
169	2.2931588
170	6.0778346
171	6.6840186
172	5.8835835
173	6.2348404
174	6.3604584
175	6.0670204
176	1.9054096
177	6.0726666
178	5.5010653
179	5.8912277
180	6.428946
181	7.9085298
182	5.111995
183	5.371314
184	6.5563383
185	6.730006
186	6.877562
187	5.619498
188	6.4513636
189	4.6742644
190	5.6420064
