	z_coordinate_0	z_coordinate_1
0	-3.421317	0.18057576
1	-3.6435163	1.2778977
2	-4.0211697	0.7318046
3	-2.061238	3.012241
4	-0.8379962	3.7954273
5	-3.4247253	2.182632
6	-2.4539406	2.0447345
7	-4.737792	0.07003412
8	-3.290889	0.5910475
9	-1.1279781	3.1184874
10	-2.9412146	2.0714498
11	-3.6941297	0.2719062
12	-4.9852695	0.7356815
13	-0.32364434	4.054355
14	-0.1017064	5.3918815
15	-0.8498973	3.970355
16	-1.9541743	2.5152774
17	-0.5281373	3.1747003
18	-1.4723282	3.7191687
19	-1.4838386	1.6978457
20	-1.5347478	3.3007426
21	-3.120013	3.3767986
22	-2.194238	1.3342968
23	-2.8998294	1.8973643
24	-3.1366243	0.01125361
25	-2.3163278	1.959154
26	-1.7721243	2.407899
27	-1.9727011	1.9940437
28	-3.5889475	1.1035272
29	-3.495828	0.5774118
30	-1.3973005	1.8233043
31	-1.1368645	4.765343
32	-0.6117523	4.9295793
33	-3.2601137	0.58017206
34	-2.8786058	1.2098459
35	-1.186327	2.2888374
36	-2.365515	3.059723
37	-4.65678	0.49316776
38	-2.2075088	1.9952196
39	-2.210551	2.610908
40	-4.9441123	-1.9543258
41	-4.3728795	1.3638982
42	-1.8887072	2.2907343
43	-1.3763946	3.5040317
44	-3.652095	0.1928356
45	-1.5247409	3.6821585
46	-3.8802779	1.2575052
47	-1.2971866	3.1948075
48	-2.6636798	1.6064439
49	0.7615425	1.2728797
50	0.71984243	-0.09291353
51	0.96515024	1.1186236
52	-1.1734279	-3.3545861
53	0.6872229	-0.20265025
54	-0.19880305	-2.4968271
55	1.3072517	-0.35511342
56	-2.5281734	-3.9818192
57	0.19728577	0.06297892
58	-0.686592	-4.0379343
59	-2.8214295	-4.1696563
60	0.5231368	-2.073721
61	-1.553514	-1.7792472
62	0.34264797	-1.3594995
63	-0.36001903	-2.563877
64	0.43725735	0.4986546
65	0.5733535	-2.8798842
66	-1.1415591	-1.8755435
67	0.68510485	-1.1377008
68	-1.4758742	-2.6371093
69	2.0344808	-2.022142
70	-0.30019045	-1.3996851
71	0.9588746	-0.7768869
72	-0.28044307	-1.2554632
73	-0.02474828	-0.48480964
74	0.34447074	0.1498782
75	0.6413122	0.55161613
76	1.6439583	0.6942782
77	0.57971597	-1.8530878
78	-1.547951	-2.138647
79	-1.7210616	-2.9606142
80	-1.978898	-2.7469459
81	-0.78133184	-2.1442113
82	1.400429	-1.708547
83	0.47697285	-3.347876
84	1.4520704	-1.0389701
85	0.7863746	0.6284095
86	-0.07131125	-0.9406822
87	-0.09400596	-2.4448233
88	-0.97090214	-3.2973442
89	-0.9462884	-3.0090199
90	0.32914993	-1.2616949
91	-0.89524525	-2.2325172
92	-2.5634446	-3.9350343
93	-0.5231635	-2.8710785
94	-0.30745184	-2.0000613
95	-0.18302481	-2.378139
96	-0.108428076	-0.98747617
97	-2.1164243	-3.6949992
98	-0.34581774	-2.5050764
99	5.2744374	-0.17167047
100	2.5539672	-2.5126033
101	3.2712407	1.8086668
102	2.3895614	-0.5754771
103	3.9235938	0.0715621
104	3.2037318	3.1144223
105	0.2923686	-5.1408577
106	2.4390888	2.3869228
107	2.3162642	0.557667
108	5.296768	2.4758167
109	3.1708648	0.115474194
110	2.5725498	-0.5138147
111	3.3787947	0.8733511
112	2.8561583	-2.8616295
113	4.391259	-2.664729
114	4.3497014	-0.19434175
115	2.35238	0.14676487
116	4.0831957	4.18623
117	3.6111324	3.073269
118	0.94589305	-1.4918185
119	4.307868	1.2948675
120	2.7541964	-3.2594357
121	2.9854014	3.1547341
122	2.0506365	-0.94821006
123	3.7706597	0.982411
124	2.401314	2.3782368
125	2.0259619	-1.3122387
126	2.101242	-1.5209594
127	3.4320915	-0.43310076
128	1.8084421	2.005084
129	2.5834413	2.4705782
130	3.4059267	4.3296742
131	3.7770047	-0.4695773
132	1.0019275	-0.66716105
133	1.0113553	-1.0685024
134	3.572663	3.1379771
135	4.946713	-0.16214818
136	2.4277053	-0.09935948
137	2.0198224	-1.9108402
138	3.3845375	1.2273097
139	4.6010933	0.60932165
140	4.0664206	1.0114315
141	2.5539672	-2.5126033
142	4.3946967	1.0913714
143	5.1629763	0.8363416
144	4.06685	0.4105538
145	2.458329	-0.96658933
146	3.0392911	-0.057106405
147	4.5378704	-0.5246756
148	2.1634824	-2.1003575
