	log_likelihood
0	6.909781
1	8.777265
2	9.5438385
3	8.829199
4	5.72418
5	8.539712
6	8.357423
7	7.803427
8	6.510784
9	7.1480713
10	9.215342
11	5.6825905
12	6.5205374
13	5.0113325
14	5.9293833
15	5.498782
16	6.88906
17	6.263644
18	7.779925
19	6.518335
20	6.316652
21	6.8973136
22	3.992227
23	6.874578
24	7.779677
25	5.788702
26	7.522338
27	6.520774
28	9.482698
29	8.765701
30	4.730573
31	7.7981806
32	7.4161882
33	8.42272
34	4.421315
35	3.9675384
36	8.405496
37	9.228141
38	8.189204
39	6.378626
40	0.70281255
41	10.275671
42	3.318446
43	4.3254676
44	6.565892
45	8.548883
46	10.177065
47	7.5141935
48	7.5348372
49	7.4730177
50	4.9630966
51	7.960579
52	6.05469
53	8.33534
54	7.5888824
55	4.7439103
56	6.7208
57	7.807022
58	7.137019
59	4.8101697
60	8.102029
61	1.4388791
62	8.827759
63	5.921397
64	7.710328
65	9.333031
66	5.5678887
67	4.2958117
68	7.1983824
69	6.2250733
70	7.389844
71	7.1916122
72	6.354591
73	8.463425
74	8.440865
75	6.6021256
76	7.249447
77	8.834361
78	3.9026134
79	6.65043
80	5.8126054
81	7.7093077
82	6.830809
83	8.328749
84	1.9846977
85	8.012452
86	3.0340047
87	8.436872
88	7.5476074
89	6.2050104
90	8.664339
91	7.41735
92	6.530922
93	8.195421
94	7.0680084
95	9.12277
96	8.886924
97	5.0362883
98	8.544985
99	5.773738
100	7.9055915
101	5.724494
102	6.7064285
103	7.2935133
104	4.1918845
105	6.3800898
106	5.689124
107	4.489522
108	4.6085224
109	5.758564
110	7.7989182
111	7.4532447
112	6.8936934
113	5.703537
114	6.174944
115	7.621826
116	1.3332264
117	3.597802
118	3.4145207
119	6.834697
120	7.612288
121	4.162938
122	7.4774427
123	5.36223
124	4.0669336
125	7.700206
126	7.953612
127	7.39489
128	6.4732895
129	5.189908
130	1.5720501
131	7.165938
132	8.0642805
133	2.783605
134	3.0212908
135	5.3419204
136	6.4682593
137	7.739766
138	6.092086
139	6.939429
140	5.8869553
141	7.697248
142	6.76792
143	6.495543
144	6.4738817
145	6.6556396
146	7.3219213
147	4.4874864
148	7.4124374
